Mood2 States

chat 1
chatter 1
say 1
admit 3
announce 4
answer 5
argue 6
assert 7
avow 8
babble 9
beg 10
bellow 11
blab 12
bleat 13
blurt 14
boast 15
brag 16
carol 17
chant 18
command 21
complain 22
concede 23
conclude 24
confess 25
confide 26
coo 27
debate 28
decree 30
demand 31
describe 32
disclose 33
divulge 34
drawl 35
drivel 36
drone 37
emote 38
eulogize 39
exclaim 40
explain 41
foretell 42
gab 43
gossip 44
howl 45
huff 46
hypothesize 47
indicate 48
inquire 49
interject 50
interrupt 51
intone 52
jabber 53
jaw 54
Jest 55
lecture 56
lisp 57
moan 58
mouth 59
mumble 60
muse 61
parrot 63
plead 64
prattle 65
preach 66
proclaim 67
promise 68
pronounce 69
prophesize 70
propose 71
quote 72
ramble 73
rap 74
recite 75
respond 76
retort 77
riddle 78
shout 80
shrill 81 
sing 82
slur 83
state 85
stutter 86
suppose 87
surmise 88
swear 89
tattle 90
theorize 91
think 92
utter 94
vow 96
wail 97 
whine 98
whisper 99
yack 100
yell 101
yelp 102
